date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1978-10-01,5.8,-3.3333333333333326,-14.70588235294118
1978-11-01,5.9,1.7241379310344973,-13.235294117647056
1978-12-01,6.0,1.6949152542372836,-6.25
1979-01-01,5.9,-1.6666666666666607,-7.8125
1979-02-01,5.9,0.0,-6.349206349206337
1979-03-01,5.8,-1.6949152542372947,-7.936507936507942
1979-04-01,5.8,0.0,-4.91803278688524
1979-05-01,5.6,-3.4482758620689724,-6.666666666666677
1979-06-01,5.7,1.7857142857143016,-3.3898305084745783
1979-07-01,5.7,0.0,-8.064516129032262
1979-08-01,6.0,5.263157894736836,1.6949152542372836
1979-09-01,5.9,-1.6666666666666607,-1.6666666666666607
1979-10-01,6.0,1.6949152542372836,3.4482758620689724
1979-11-01,5.9,-1.6666666666666607,0.0
1979-12-01,6.0,1.6949152542372836,0.0
1980-01-01,6.3,5.000000000000004,6.7796610169491345
1980-02-01,6.3,0.0,6.7796610169491345
1980-03-01,6.3,0.0,8.62068965517242
1980-04-01,6.9,9.523809523809534,18.965517241379317
1980-05-01,7.5,8.695652173913038,33.928571428571445
1980-06-01,7.6,1.3333333333333197,33.33333333333333
1980-07-01,7.8,2.6315789473684292,36.8421052631579
1980-08-01,7.7,-1.2820512820512775,28.333333333333343
1980-09-01,7.5,-2.5974025974025983,27.118644067796605
1980-10-01,7.5,0.0,25.0
1980-11-01,7.5,0.0,27.118644067796605
1980-12-01,7.2,-3.9999999999999925,19.999999999999996
1981-01-01,7.5,4.166666666666674,19.047619047619047
1981-02-01,7.4,-1.3333333333333308,17.460317460317466
1981-03-01,7.4,0.0,17.460317460317466
1981-04-01,7.2,-2.7027027027027084,4.347826086956519
1981-05-01,7.5,4.166666666666674,0.0
1981-06-01,7.5,0.0,-1.3157894736842035
1981-07-01,7.2,-3.9999999999999925,-7.692307692307687
1981-08-01,7.4,2.77777777777779,-3.8961038961038974
1981-09-01,7.6,2.7027027027026973,1.3333333333333197
1981-10-01,7.9,3.9473684210526327,5.3333333333333455
1981-11-01,8.3,5.063291139240511,10.666666666666668
